rijschool,plaats,aantal_examens,slagingspercentage_eerste_examens,slagingspercentage_alle_examens,weighted_rate_first70_all30,weighted_volume_adjusted_score,rank_first_weighted,research_status,sample_n,pass_rate_basis,pass_rate_ci_low,pass_rate_ci_high,ci_width,years_in_business,maturity_flag,low_volume,reliability_adjusted_score,english_instruction,english_confidence,english_evidence,english_source,transmission,transmission_source,founding_year,founding_year_basis,founding_confidence,website,phone,address,postcode,kvk_number,cbr_rijschoolnummer,google_rating,review_count,price_signal,waitlist_signal,notes,meets_min_sample,availability,locality,review_trust,review_substance,sentiment_index,sentiment_label,sentiment_source,sentiment_confidence,review_summary,review_themes_pos,review_themes_neg,review_red_flags,english_in_reviews,review_verified,reviews_read,review_modifier,decision_score
Autorijschool Sam,'S-HERTOGENBOSCH,40,55,53,54.4,39.27,53,ok,40,first_exam,39.8,69.3,29.5,4,establishing,no,39.8,unknown,low,,,both,https://autorijschoolsam.com,2022,kvk,high,https://autorijschoolsam.com,06 16 84 33 57,Weidonklaan 38,5223VK,88495256,1960G1,5.0,41,,,"Eenmanszaak (sole proprietorship), 1 employee; KvK 'actief sinds' 20-12-2022 (rijschool-tips.nl), SBI 8553 Auto- en motorrijscholen. Single female instructor (reviews use 'haar'/'instructrice'). Own site explicitly offers choice of automaat or schakelauto and male OR female instructor, 60-min lessons, free trial lesson, payment in installments, CBR-recognized. Google rating 5.0/5 from 41 reviews (via clickdrive.nl); reviews are written in Dutch (reviewer names like Faeze ValiPour, Liana Tehrani, Shahab Adami suggest international/expat clientele but no review describes lessons taken in English). No English-instruction claim on own site or aggregators -> english_instruction left 'unknown' (other Den Bosch schools advertise English, but not Autorijschool Sam). KvK CONFLICT: rijschoolspecialist.nl lists KvK 88495256 while cbr.nl lists 99396068 for the same rijschoolnummer 1960G1 and email autorijschoolsam@gmail.com; used rijschoolspecialist value as primary, flagged here. No price or waitlist info published. Slagingspercentage ~43% over ~54 exams (rijschool-tips.nl).",yes,unknown,in_city,moderate,mixed,96,very_positive,openai,high,"Students consistently praise a patient, punctual female instructor (named Azadeh Alaei) who explains calmly, gives full attention every minute of the lesson, and helps many pass on the first attempt, including learners who had failed at another school; the tone is uniformly very positive with no negative reviews found.",aardige en geduldige instructeurs; rustige en duidelijke uitleg; persoonlijke aandacht en meedenken; professioneel en toegewijd; stipt en efficiënt lesgebruik; flexibele tijden; goede prijs; hoge slagingskans,,"All reviews are 5/5 with no negative or mixed reviews surfaced anywhere; Several short generic one-liners ('Ik ben helemaal tevreden zij heeft echt ervaring') mixed in with detailed ones; Two near-duplicate reviewer names (amin rasekhkhoo / Amin Rasekh) within two weeks; Reviews concentrated on Google and only mirrored via clickdrive.nl; no independent verified platform (no klantenvertellen, no Trustpilot); Cluster of reviewers with similar (Persian/Iranian) name profiles",unclear,no,15,1.083,39.9
Rijschool van Herwaarden,KERKDRIEL,40,33,38,34.5,21.72,91,ok,40,first_exam,20.5,48.5,28.0,10,established,no,20.5,unknown,low,,,manual,https://www.rijschoolvanherwaarden.nl/lesauto/,2016,kvk,high,https://www.rijschoolvanherwaarden.nl,06-15904028,Hoorzik 39,5331 KJ,66076455,4128K3,,,Losse lessen €70/uur; Snel pakket (25 uur + tussentijdse toets + examen) €2330; Basis pakket (35 uur) €3030,,"Eenmanszaak, sole owner-instructor Marco van Herwaarden (ex-ANWB instructor in 's-Hertogenbosch); a second instructor Vienna Leijting is also listed. Registered in Kerkdriel (Gelderland) but markets itself as 'De rijschool van de Bommelerwaard en Den Bosch' and does almost all lessons + the CBR exam at Den Bosch ('s-Hertogenbosch) - relevant for a Den Bosch-region expat. Lesauto's are a Mercedes CLA 180 d Coupe and a Mercedes A 160 AMG-look (both standard manual models; no automaat/automatic offering mentioned anywhere on the site), hence transmission=manual at med confidence by absence of automaat evidence. No English-language signal found on own site or aggregators; english_instruction=unknown. KvK 66076455 founded 23-05-2016 (rijscholen-gids.nl), consistent with rijschool-tips.nl 30-05-2016 and educarplatform's '10 jaar geleden' estimate. CBR (meetperiode 1-4-2025 t/m 31-3-2026): 18 first exams + 22 herexams = 40 total, 38% pass rate. Aggregators (rijschoolspecialist.nl, educarplatform.nl) show 0 reviews; no Google rating found. Founding_confidence high on KvK basis but transmission only inferred (med).",yes,unknown,nearby,insufficient,none,60,positive,agent,,"No readable customer review text could be found for Rijschool van Herwaarden (Kerkdriel; instructor Marco van Herwaarden, with Vienna Leijting). There is no klantenvertellen page, and Google shows only a single 5.0/5 rating with no visible review body. Review pages that did contain quotes belong to other, unrelated 'Marco' driving schools and were excluded to avoid misattribution.",,,"No klantenvertellen.nl page exists for this school (no independent verified reviews).; Only 1 Google review found (5.0/5 via clickdrive.nl) and its TEXT is not displayed/readable.; Directory listings (rijschoolspecialist.nl, rijscholen-gids.nl, educarplatform.nl) all show 0 reviews.; The only pages containing actual review TEXT belong to DIFFERENT driving schools (autorijschool-marco.nl = 'Autorijschool Marco en Diana', phone 06-47763224, autism/ADHD specialty; and Autorijschool Marco van Die in Westmaas) and were NOT attributed to van Herwaarden to avoid name confusion.; Below-average CBR pass rate (~37-38% first-time vs ~54% location average at Den Bosch) — context only, not from reviews.",unclear,no,0,1.0,24.9
Rijschool van Venrooij,ROSMALEN,39,80,72,77.6,62.4,5,ok,39,first_exam,65.0,89.6,24.6,3,establishing,no,65.0,unknown,low,,,unknown,https://rijschool-vanvenrooij.nl/lesauto/,2023,website,med,https://rijschool-vanvenrooij.nl,06-39482555,Pastoorhoekx-singel 185,5246 PH,89879597,1209Z4,,,€69/uur (60 min losse les),"Site urges early signup: ""Meld jezelf op tijd aan zodat je zeker bent van een plek achter het stuur van onze lesauto!"" (single car, one instructor)","One-man rijschool, owner/instructor Frank van Venrooij. Single lesauto: Ford Puma ST-line X (transmission not stated on site, so 'unknown' rather than guessing manual). Car (B) lessons only at CBR exam location Den Bosch – no motorcycle/scooter/automaat category listed on CBR. Aangesloten bij Stichting Rijschool Belang (SRB). Founding: owner says 'enkele jaren ervaring', a review mentions lessons in 2022-2023, website built March 2023, ROS TV-krant launch article dated 2023-07-12, and KvK 89879597 is a 2023-era registration number – all consistent with founding/start in 2023. CBR (meetperiode 1 apr 2025 - 31 mrt 2026): 25 first exams, 80% first-exam pass rate (54% location avg). No English-instruction evidence found on site or aggregators (site is Dutch-only, no EN toggle); english=unknown, not 'no'. No Google rating / review count captured (site shows only on-site testimonials).",yes,unknown,in_city,moderate,substantive,94,very_positive,openai,high,"Students consistently describe Frank van Venrooij as a calm, patient and friendly one-on-one instructor who explains clearly, creates a relaxed/pleasant atmosphere, is flexible with planning and helps anxious learners build confidence, with many reporting they passed first time. All available review text (Google 5.0/5 over 10 reviews plus website testimonials) is uniformly very positive in Dutch; no negative reviews and no English/expat-language reviews were found, and there is no verified independent platform (klantenvertellen) for this school.","rustige en geduldige instructeur; duidelijke uitleg en heldere communicatie; gezellige, ontspannen sfeer in de auto; leerzame en comfortabele lessen; veel vertrouwen en op gemak stellen; flexibele planning; snel slagen / in één keer geslaagd",,"All reviews uniformly 5-star with no negative or even mildly critical entries; cannot see the full spread.; No independent verified-reviewer platform (no klantenvertellen.nl); Google + own-website testimonials only.; Small single-instructor school (~3 years old, 10 Google reviews) so the sample is limited.; Note: CBR/clickdrive practical first-time pass rate is mid-range (CBR ~72-80% first exams over a small sample; clickdrive lists 56% first-time over 86 exams), which is more mixed than the glowing reviews suggest, though this is exam data, not review text.",no,no,20,1.079,62.1
Autorijschool van de Sande,VLIJMEN,39,63,59,61.8,46.15,41,ok,39,first_exam,47.3,76.3,29.0,7,established,no,47.3,no,med,"Aggregator listing field 'Taal: Nederlands'; one-instructor Dutch-only school, no English signal anywhere on own site or aggregators.",https://www.autorijschooltarieven.nl/rijschool/autors-van-de-sande,unknown,,2019,website,med,https://autorijschoolvandesande.nl,06 23 88 02 84,Marijnenlaan 54,5251 SC,73870897,,5.0,8,Losse les €69/60min; Pakket 1 (20 uur) €1.970; Pakket 2 (40 uur) €3.320; praktijkexamen CBR €300,,"One-woman driving school run by Karin van de Sande (sole/vaste instructeur, vaste lesauto), category B only. Gecertificeerd RIS-instructeur, lessons via Rijopleiding in Stappen method; offers faalangstexamen (€350) so suitable for anxious learners. Founding conflict: own 'even voorstellen' page says she started as a rijinstructeur in 2017 then went independent; KvK 73870897 plus '7 jaar ervaring' (clickdrive/rijschool-tips) and rijloket 'Sinds 2019 actief als rijschool' point to ~2019 as the business founding year (used here). ENTITY DISAMBIGUATION: distinct from 'Autorijschool van de Sanden' (Frans, rijschoolvds.nl, Berkel-Enschot, tel 06 48487091) and 'Autorijschool van der Sande' (Maastricht, autorijschoolvdsande.nl) — rijloket.nl mixed our Vlijmen school's stats with Frans's rijschoolvds.nl website/phone. clickdrive lists an alternate phone +31 6 28818132; the school's own site number is 06 23 88 02 84. CBR exam counts on aggregators (34 / 30-41 in Den Bosch) are consistent with the given 39.",yes,unknown,nearby,weak,thin,92,very_positive,openai,medium,"For the correct school (Karin van de Sande, Vlijmen) there is no independent, verified, readable review text: clickdrive shows only an unverified Google aggregate of 5.0/5 from 8 reviews with no visible bodies, and the only readable testimonials are self-published on her own website. Of those, only a handful describe actual instruction (calm, patient, clear explanation, good with learners needing extra attention); the rest are congratulatory launch messages from her social circle rather than student reviews.",vriendelijke en duidelijke uitleg; rustige en geduldige instructeur; ontspannen lessen; vertrouwen geven; vaste instructeur; speciale aandacht voor leerlingen,,"No independent verified reviews (no klantenvertellen page for this school; the klantenvertellen 9.2/134 page is a DIFFERENT school, 'Autorijschool Van de Sanden', instructor Frans in Tilburg); Google rating 5.0/8 reported by aggregators (clickdrive) but no review bodies are visible/readable; Only readable testimonials are self-published on the school's own website (unverified, solicited); Most website 'recensies' are congratulatory launch messages from friends/family/peers, not actual student reviews; rijscholen-gids.nl lists 'nog geen beoordelingen' (no reviews); very low review volume overall",no,no,4,1.032,46.9
Autorijschool de Gier,VUGHT,38,74,79,75.5,59.92,7,ok,38,first_exam,58.3,85.3,27.0,17,established,no,58.3,unknown,low,,,unknown,,2009,website,med,https://www.autorijschooldegier.nl,06-20921891,Ranonkelstraat 13,5262DL,17252686,5577K8,,,€70/60min (los); 90 min €105; kennismaking 90 min €70 (per maart 2026),,"Single-instructor school run by Christ de Gier (owner-operator); site states je krijgt altijd les in dezelfde auto. RIS-gecertificeerd with examengarantie (free 2nd CBR exam if you fail, lessons excluded). Founding inferred from aggregators clickdrive.nl and educarplatform.nl both stating '17 jaar ervaring' / 'opgericht 17 jaar geleden' (2026-17=2009); no explicit 'sinds YYYY' on own site, so med confidence. KvK 17252686 (low/old number, possibly registered earlier; no KvK reg-year found). CBR rijschoolnummer 5577K8. No reviews found on aggregators (0.0, 0 reviews on rijschoolspecialist/clickdrive/educar); no Google rating located. Transmission type not stated anywhere (no automaat/schakel mention); only category B. No English-instruction evidence found. rijschoolspecialist lists stale '32 examens/84%' vs brief's 38 CBR exams last 12 months. Search hits for 'Start Driving' and 'Rijschool de Rijk' are different schools (noise).",yes,unknown,nearby,insufficient,none,50,mixed,agent,,"No written customer reviews could be found for Autorijschool de Gier on any platform (klantenvertellen, Google, Trustpilot, Facebook, Trustoo, or the directory aggregators), so student sentiment cannot be assessed from review text. The only available data is objective CBR exam performance (around 38 exams, ~79% pass rate), and the school's own marketing (small one-man RIS-certified school in Vught with exam guarantee; instructors Christ de Gier and Danny van den Bergh).",,,"No written customer reviews found on any platform (klantenvertellen, Google, Trustpilot, Facebook, Trustoo, clickdrive, rijschoolspecialist, rijscholen-gids).; clickdrive.nl, rijschoolspecialist.nl and rijscholen-gids.nl all explicitly show 0 reviews / 0.0 rating ('Er zijn nog geen beoordelingen gevonden').; School is not listed at all on the Trustoo Vught rijschool ranking.; Only objective CBR exam statistics are available (no qualitative review text), so authenticity cannot be judged.",unclear,no,0,1.0,62.3
Autorijschool de Leeuw,VUGHT,38,53,53,53,37.6,57,ok,38,first_exam,37.6,67.9,30.3,15,established,no,37.6,unknown,low,,,both,http://www.deleeuwrijschool.nl,2011,kvk,med,http://www.deleeuwrijschool.nl,06 52 42 87 59,Antoniusstraat 22,5262EJ,51783010,5278W1,,,"€54,40/uur",,"One-person eenmanszaak run by instructor Johannes de Leeuw. Categories: car (B) only per clickdrive (also lists auto/motor on rijschool-tips, but CBR/clickdrive show car only). Transmission BOTH: lesauto VW Golf 1.5 TSI (schakel) + Seat Ateca automaat (added najaar 2025), website explicitly offers automaat lessons. CONFLICTING FOUNDING SIGNALS: aggregators (rijschool-tips, clickdrive) state '15 jaar geleden opgericht'/'15 jaar ervaring' (~2011, consistent with KvK 51783010 issued ~2011), while the own website claims 'Meer dan 35 jaar ervaring' (instructor's personal experience, not business reg). Founding_year=2011 chosen on KvK/aggregator basis. PRICE: clickdrive shows '54,4' = ~€54,40/uur; startpakket = 20 lessons incl. praktijkexamen. RATING: clickdrive 5,0/5 but only 1 review (too thin to report as google_rating). English: no evidence found; autorijschooltarieven.nl lists Taal=Nederlands and all website testimonials are in Dutch, but no explicit statement about English instruction, so english_instruction=unknown. DISAMBIGUATION: distinct from 'LEEUW Opleidingen' (Eindhoven/sinds 1962, 60+ yr, much larger, multi-category) which appears in some searches — NOT the same business. CBR Den Bosch slagingspercentage ~53% (17 first exams, 21 herexams).",yes,unknown,nearby,insufficient,none,88,very_positive,openai,medium,"No credible, identity-confirmed review corpus exists for the Vught Autorijschool de Leeuw: independent aggregators report no reviews, and the only review-like text comes from the assigned website's self-published testimonials, which name instructor 'Johannes de Leeuw' with Frisian student names and almost certainly belong to a different (Friesland) De Leeuw rijschool. Those website one-liners are uniformly grateful but generic ('super goede lessen', 'bedankt voor het geduld'), with no negative or English/expat content found.",goede lessen; leerzame en fijne lessen; geduld van instructeur; helpt leerlingen slagen voor rijbewijs; familie brede tevredenheid,,"No independent or verified reviews exist for the Vught Autorijschool de Leeuw (KvK 51783010, Antoniusstraat 22, Den Bosch exam location); regio-rijschool.nl states 'Geen reviews beschikbaar', autorijschooltarieven.nl has no visitor reviews, EduCar shows only a bare '5.0 (1)' rating with no text.; No klantenvertellen / Kiyoh / Trustpilot / Google review page with written bodies could be located for this specific school.; IDENTITY AMBIGUITY: the assigned website deleeuwrijschool.nl publishes self-written testimonials naming instructor 'Johannes de Leeuw' with overwhelmingly Frisian student surnames (van der Meulen, Sjoerdsma, Jellema, Kimsma, Vosman, Pruiksma, Boersma, Kuiper) and matches the separate Leeuwarden 'Autorijschool De Leeuw' (88% pass, rijlessen.nl) - this is very likely a DIFFERENT (Friesland) De Leeuw rijschool, NOT the Vught one. Quotes captured are from this site and are non-independent, unverifiable one-liners; treat with strong caution.; Do NOT confuse with 'LEEUW Opleidingen' Eindhoven (268-436 reviews, founded 1962, truck/taxi/motor CCV school) - a separate business whose reviews are unrelated to the Vught school.; Captured quotes are short generic thank-you one-liners ('Bedankt voor de leuke lessen', 'JAAA! Dankjewel') with no exam-day, faalangst, or concrete detail.",no,no,0,1.0,43.2
Autorijschool Boone,BERLICUM,37,65,68,65.9,49.79,27,ok,37,first_exam,48.9,78.3,29.4,15,established,no,48.9,unknown,low,,,manual,https://www.autorijschool-boone.nl/over-ons,2011,website,med,https://www.autorijschool-boone.nl,073 503 41 82,"Werststeeg 1C, 5258TA Berlicum",5258TA,51922371,8215K8,,,€62/uur; pakket €1475 (20 lessen + praktijkexamen); los praktijkexamen €260,Wachttijd van ongeveer 1 maand (actief aannemend); op website: 'Momenteel is er een wachttijd van ongeveer 1 maand',"Category B only (CBR/clickdrive/rijloket). Faalangst (test-anxiety) specialist (rijloket: 'gespecialiseerd in faalangstbegeleiding'). Manual only: 'Rijlessen in een moderne vlotte schakel-auto (audi A3)' on over-ons page; no automaat/automatic offered. Instructor named Arjen (Google review via rijloket). No English-instruction evidence found anywhere; Dutch-only website with no English page. Conflicting founding signals: rijloket states 'Sinds 2011 / Actief sinds 2011 (15 jaar)' and clickdrive '15 jaar ervaring', but own website says '500 tevreden geslaagden in de afgelopen 13 jaar' (~2013) and clickdrive body text 'meer dan 12 jaar'; used 2011 as the explicit 'sinds' year. CBR 2025: 65% first-exam pass rate (23 first exams, Den Bosch location). Reviews thin: rijloket shows 5.0 from 1 Google review; no substantial aggregate rating found.",yes,wait,nearby,insufficient,none,60,positive,agent,,"No genuine written customer reviews could be found for Autorijschool Boone on any review platform; the only signal is an unclaimed Google Maps listing showing a 5.0 rating with no readable review text. Note that prominent klantenvertellen/website results belong to a different, similarly named school (Rijschool Berlicum V.O.F.) and were excluded.",,,"No readable written customer reviews found for Autorijschool Boone on any platform (klantenvertellen, Google, clickdrive, DriveDutch, Trustoo, Trustpilot, Facebook).; Google Maps profile shows a headline 5.0 rating but the listing is UNCLAIMED, has no photos/hours and no visible review text; likely based on very few ratings with no bodies.; Clickdrive lists Autorijschool Boone as 0,0 / 5 (0 reviews); DriveDutch and CBR show only exam statistics, not written reviews.; WARNING: klantenvertellen.nl/reviews/1052928/rijschool-berlicum and rijschoolberlicum.nl are a DIFFERENT school (Rijschool Berlicum V.O.F. in Vinkel, instructors Jose/Twan) and were NOT attributed to Boone.; Boone's own website (autorijschool-boone.nl) contains no testimonials/reviews, only marketing copy ('zo'n 500 tevreden geslaagden in 13 jaar').",unclear,no,0,1.0,52.8
Autorijschool Wagenaar,'S-HERTOGENBOSCH,36,44,58,48.2,32.86,73,ok,36,first_exam,29.2,60.0,30.8,13,established,no,29.2,unknown,low,,,both,https://www.wagenaar-autorijschool.nl/informatie.html,2013,website,low,https://www.wagenaar-autorijschool.nl,06-28844127,Anjervallei 58,5237LD,73531243,9287K1,5.0,1,"€65/uur schakel, €68,50/uur automaat; beginnerspakket €1750, compleet pakket €2340",,"Eenmanszaak run by R.M. Wagenaar (rmwagenaar@home.nl). Own site explicitly offers both schakel and automaat lessons ('Wij bieden zowel schakel als automaat lessen aan'), automaat in a new Volvo XC 60. No English-instruction signal anywhere (own site Dutch-only, only 1 Google review). Founding conflicting: website copyright '© 2013 - 2026' (web presence since 2013) vs aggregators clickdrive.nl '16 jaar ervaring' (=>~2010) and educarplatform.nl '15+ jaar' (=>~2011); instructor experience likely predates the registered eenmanszaak. KvK 73531243 confirmed by CBR/vindjerijschool/rijschoolspecialist; an older number 622505740000 on rijlesindebuurt.nl appears stale. CBR Den Bosch slagingspercentage 58% (44% first-time, 16 first exams last 4 quarters). Offers faalangst/anxious-learner packages and theory courses. Rijbewijs category B (and theory for motor/bromfiets).",yes,unknown,in_city,insufficient,thin,5,very_negative,openai,high,"Almost no readable review text exists for Autorijschool Wagenaar (Den Bosch): only a single 5.0 Google review ('in 1x geslaagd' / passed first time) and one detailed 2020 negative review from a former student who complained about cancelled, expensive lessons that were still charged. Too few reviews to judge consistent quality.",passed in one attempt,"terrible experience; bad driving lessons; expensive; lessons often cancelled; lessons marked off without being driven; waste of money, energy and time; not recommended","Only ~2 readable reviews total across all platforms; No verified/independent reviews (no klantenvertellen, Trustpilot, Trustoo, or Facebook page found); Single Google review (5.0) is a generic one-liner with no specifics; The one substantive review is strongly negative (cancelled lessons billed anyway)",no,no,2,1.0,34.6
Rijschool Maximo,ROSMALEN,35,68,69,68.3,51.75,21,ok,35,first_exam,51.4,81.0,29.6,5,establishing,no,51.4,unknown,low,,,unknown,https://www.rijschoolmaximo.nl,2021,kvk,high,https://www.rijschoolmaximo.nl,06 40 02 69 57,Hannie Schaftstraat 13,5247 XC,82784493,1963R5,5.0,2,,,"Single-instructor eenmanszaak run by Toine Walters (former 32-year field accountmanager who retrained at Verkeersacademie as a RIS-certified instructor). KvK 82784493 registered 21-05-2021 (rijscholen-gids.nl citing KvK), consistent with 'Vestiging' founding and clickdrive's '5 jaar ervaring'; website assets dated 2021/05. Category B only; fixed lesauto is a Nissan Qashqai but no source states automaat vs schakel, so transmission is unknown. Works within ~20km radius of Den Bosch (s-Hertogenbosch); registered town is Rosmalen, gemeente 's-Hertogenbosch. No English-language signal found anywhere (Dutch-only site, no English page, no English reviews) - english_instruction left unknown, NOT 'no'. Google rating 5.0 but review counts conflict: clickdrive says 1 review, rijscholenvergelijken says 2 reviews. CBR official page shows 25 first exams / 68% first-time pass (brief states 35 exams in trailing 12 months - different window). No price or waitlist signal published; 'Je kunt al snel starten' implies availability. Email: toine@rijschoolmaximo.nl (CBR).",yes,unknown,in_city,insufficient,none,72,positive,openai,low,"Rijschool Maximo is a small one-instructor school (Toine Walters, founded 2021) with essentially no written review corpus: only one or two 5-star Google ratings exist and just a single one-word review with any text ('Top rijschool!'). There is no readable evidence about teaching quality, exam-day support, or whether lessons are offered in English, so the reviews cannot be meaningfully judged.",top school; overall satisfaction,,"Almost no review corpus anywhere: only 1-2 Google star ratings exist; Only one review has any text at all, a generic one-liner ('Top rijschool!'); No presence on klantenvertellen (independent verified reviews); rijschoolspecialist.nl explicitly shows 0 reviews; clickdrive Google review shows 'Geen beschrijving' (no written text); Single-instructor one-man school (Toine Walters), founded 2021, so small sample is expected but provides no evidence base",unclear,no,1,1.0,47.4
Anton Snelrijles,'S-HERTOGENBOSCH,35,68,63,66.5,49.93,26,ok,35,first_exam,51.4,81.0,29.6,12,established,no,51.4,unknown,low,,,both,https://rijloket.nl/rijscholen/s-hertogenbosch/anton-snelrijles-s-hertogenbosch,2014,website,med,https://www.snelrijles.nl,06 26 42 57 43,Erik de Rodestraat 29,5223RT,513502030000,2260U7,3.4,5,€54/uur (60 min losse les); pakketten €1480 (30 lessen) / €1700 (35 lessen) / €1900 (40 lessen),,"Branded as 'Snel Rijles' / 'Snel Rijles Den Bosch' (snelrijles.nl); CBR-registered name is Anton Snelrijles. Single-instructor school, personal attention, lessons from age 16, Volkswagen Polo lesauto. Faalangst (test anxiety) specialist per rijloket.nl. Transmission both: rijloket shows automaat (6 examens) + schakel (17 examens). Conflicting founding signals: rijloket states 'Sinds 2014' and website copyright is '© 2014' with logo uploaded 2015/04 (used here); rijschool-tips.nl lists '15 jaar werkzaam' (~2011), likely reflecting the owner's broader KvK activity (which also covers transport/goods and distilled-drink import), not the driving school specifically. No English instruction stated anywhere; official site is Dutch-only aimed at 'jongeren' – no evidence found either way, so english_instruction=unknown. Google rating 3.4/5 from only 5 reviews (low base); reviews mixed, including one strongly negative.",yes,unknown,in_city,weak,mixed,18,negative,openai,high,"Only a handful of Google reviews exist (5 total, 3.4/5) and they are sharply polarized: two detailed 1-star reviews accuse instructor Anton of poor teaching, shortening paid lessons, lateness and 'money-grabbing' (one contains an ethnic slur), while two short 5-star reviews praise passing first time and getting the licence within two months. No independent/verified reviews (no klantenvertellen, Trustpilot or Kiyoh presence), no English-language or expat reviews.",snel kunnen beginnen; in één keer geslaagd; rijbewijs snel gehaald,slechte instructie; taalproblemen met instructeur; fraude met lestijden; te laat komen; geldklopperij; tijdverspilling; lage slagingskans,"Only 5 Google reviews total; no independent verified platform (no klantenvertellen/Trustpilot/Kiyoh); Reviews are sharply polarized (two glowing one-liners vs two detailed angry reviews) rather than a balanced spread; Positive reviews are generic short one-liners typical of solicited/friendly reviews; One negative reviewer username is 'Tik Tok' (non-real name), though the complaint is specific; One 1-star review contains an ethnic slur ('domme turk'), quoted complaints retained but slur omitted; Single-instructor, single-platform sample too small to judge reliably",no,no,5,0.976,51.4
Frans Kollenburg Autorijschool,ALEM,35,55,49,53.2,37.19,60,ok,35,first_exam,38.9,70.2,31.3,11,established,no,38.9,unknown,low,,,unknown,,2015,website,med,https://www.franskollenburgautorijschool.nl,06 24677829,Meerenstraat 55,5335LT,70384096,1247G6,,0,€65/uur (losse les 60 min); 25-uurpakket €2105,,"Solo RIS-certified instructor, category B only. Owner Frans Kollenburg: got his instructor pass in 2015 and taught alongside his job; fulltime as instructor since March 2025 (per 'Over Ons'). Website claims 'meer dan 10 jaar ervaring' (~since 2015); clickdrive auto-states '8 years' (conflicting/looser signal). DISAMBIGUATION: distinct from 'Autorijschool Gertine Kollenburg' (his wife's school, same address Meerenstraat 55, KvK 54997666, rijschoolnummer 7659U6, ~20yr/since 2012) - the 3.7/5 Google reviews and faalangst/NLP specialization belong to Gertine's school, NOT this one. Frans's own school has 0 reviews on rijschoolspecialist & clickdrive. Also offers faalangst training and opfriscursus. CBR Den Bosch: 49% pass overall, 55% first-attempt (20 first exams + 15 retakes = 35 total, matches dataset). No automaat/schakel and no English-language info published anywhere.",yes,unknown,nearby,insufficient,thin,42,mixed,openai,medium,"There are effectively no usable reviews for Frans Kollenburg Autorijschool itself (0 reviews everywhere it is listed). The only review text found is on a separate co-located school, Autorijschool Gertine Kollenburg, and is extremely thin: a single negative Google review alleging unsafe driving behaviour and one two-word positive Trustoo review ('Goed geregeld allemaal'); the remaining star-only ratings carry no text and one 5-star is posted under the owner's own name.",goed geregeld,gevaarlijk rijgedrag; onnodig links rijden; te langzaam rijden; onprofessionele instructeur,"ZERO reviews exist for the target entity itself (Frans Kollenburg Autorijschool, KvK 70384096 / CBR 1247G6): 0.0/5 on Clickdrive, 0 reviews on Rijschoolspecialist, no klantenvertellen/Kiyoh page found.; The only review TEXT found belongs to a SEPARATE but co-located sibling business, Autorijschool Gertine Kollenburg (KvK 54997666 / CBR 7659U6, same address Meerenstraat 55, Alem), so attribution to the target is unreliable.; Reviews are extremely sparse: Google 3.7/5 (3 reviews) and Trustoo 4.0 (4 reviews), and almost all are star-only with no body text ('Geen beschrijving').; One of the 5-star Google reviews on the sibling school is posted under the name 'Frans kollenburg' (likely the owner himself), which is a self-review signal.; Only two review bodies exist in total and they conflict (one 1-star safety complaint, one 2-word positive), giving no reliable basis to judge quality.",no,no,4,1.0,41.3
